ClusterID,ClusterName,Organism,subunits(UniProt IDs),subunits(Entrez IDs),subunits(Protein name),subunits(Gene name),Complex comment,subunits(Gene name syn)
1252,EBAFa complex,Human,O14497;O96019;P51532;Q03111;Q12824;Q8TAQ2;Q92922;Q92925;Q969G3;Q96GM5,8289;86;6597;4298;6598;6601;6599;6603;6605;6602,AT-rich interactive domain-containing protein 1A ;Actin-like protein 6A ;Transcription activator BRG1 ;Protein ENL ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 ;SWI/SNF complex subunit SMARCC2 ;SWI/SNF complex subunit SMARCC1 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1,ARID1A;ACTL6A;SMARCA4;MLLT1;SMARCB1;SMARCC2;SMARCC1;SMARCD2;SMARCE1;SMARCD1,"ENL associates and cooperates with SWI/SNF complexes to activate transcription of the promoter of HoxA7, a downstream target essential for oncogenic activity of ENL.",BAF250 BAF250A C1orf4 OSA1 SMARCF1;BAF53 BAF53A INO80K;BAF190A BRG1 SNF2B SNF2L4;ENL LTG19 YEATS1;BAF47 INI1 SNF5L1;BAF170;BAF155;BAF60B;BAF57;BAF60A
1253,"Ubiquitin E3 ligase (FBXW7, CUL1, SKP1A, RBX1)",Human,P62877;P63208;Q13616;Q969H0,9978;6500;8454;55294,E3 ubiquitin-protein ligase RBX1 ;S-phase kinase-associated protein 1 ;Cullin-1 ;F-box/WD repeat-containing protein 7,RBX1;SKP1;CUL1;FBXW7,"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. FBXW7 targets cyclin E, one of the activators of the cyclin-dependent kinase Cdk2 for proteolysis and is mutated in a breast cancer cell line.",RNF75 ROC1;EMC19 OCP2 SKP1A TCEB1L;;FBW7 FBX30 SEL10
1254,Menin-associated histone methyltransferase complex,Human,O00255;P30876;P61964;Q15291;Q9C005;Q9UBL3;Q9UMN6,4221;5431;11091;5929;84661;9070;None,Menin;DNA-directed RNA polymerase II subunit RPB2 ;WD repeat-containing protein 5 ;Retinoblastoma-binding protein 5 ;Protein dpy-30 homolog ;Set1/Ash2 histone methyltransferase complex subunit ASH2 ;Histone-lysine N-methyltransferase 2B,MEN1;POLR2B;WDR5;RBBP5;DPY30;ASH2L;KMT2B,"The menin-associated complex methylates histone H3 on lysine 4, suggesting menin activates the transcription of differentiation-regulating genes by covalent histone modification, and that this activity is related to tumor suppression by MEN1.",SCG2;;BIG3;RBQ3;;ASH2L1;HRX2 KIAA0304 MLL2 MLL4 TRX2 WBP7
1255,"Ubiquitin E3 ligase (SIAH1, SIP, SKP1A, TBL1X)",Human,O60907;P63208;Q8IUQ4;Q9HB71,6907;6500;6477;27101,F-box-like/WD repeat-containing protein TBL1X ;S-phase kinase-associated protein 1 ;E3 ubiquitin-protein ligase SIAH1 ;Calcyclin-binding protein,TBL1X;SKP1;SIAH1;CACYBP,"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Conditional degradation of beta-catenin represents a central event in the Wnt signaling pathways controlling cell fate and proliferation. A network of protein interactions in which Siah, SIP (a novel Siah-interacting protein), Skp1, and Ebi collaborate in a pathway controlling beta-catenin levels, affecting activity of beta-catenin-dependent Tcf/LEF transcription factors.",TBL1;EMC19 OCP2 SKP1A TCEB1L;HUMSIAH;S100A6BP SIP
1256,MLL-HCF complex,Human,O00255;P05546;P51610;P61964;Q03164;Q15291;Q9UBL3,4221;3053;3054;11091;4297;5929;9070,Menin;Heparin cofactor 2 ;Host cell factor 1 ;WD repeat-containing protein 5 ;Histone-lysine N-methyltransferase 2A ;Retinoblastoma-binding protein 5 ;Set1/Ash2 histone methyltransferase complex subunit ASH2,MEN1;SERPIND1;HCFC1;WDR5;KMT2A;RBBP5;ASH2L,This complex links the menin tumor suppressor protein to the MLL histone methyltransferase machinery.,SCG2;HCF2;HCF1 HFC1;BIG3;ALL1 CXXC7 HRX HTRX MLL MLL1 TRX1;RBQ3;ASH2L1
1257,ALL-1 supercomplex,Human,O00422;O60264;O60341;O75446;O94776;O95983;P20226;P21675;P49848;P51531;P61964;P62826;Q03164;Q09028;Q12824;Q12873;Q13547;Q15029;Q15291;Q16514;Q16576;Q16594;Q8TAQ2;Q92769;Q92797;Q92922;Q96ST3;Q9P2I0,10284;8467;23028;8819;9219;53615;6908;6872;6878;6595;11091;5901;4297;5928;6598;1107;3065;9343;5929;6883;5931;6880;6601;3066;8189;6599;25942;53981,Histone deacetylase complex subunit SAP18 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 ;Lysine-specific histone demethylase 1A ;Histone deacetylase complex subunit SAP30 ;Metastasis-associated protein MTA2 ;Methyl-CpG-binding domain protein 3 ;TATA-box-binding protein ;Transcription initiation factor TFIID subunit 1 ;Transcription initiation factor TFIID subunit 6 ;Probable global transcription activator SNF2L2 ;WD repeat-containing protein 5 ;GTP-binding nuclear protein Ran ;Histone-lysine N-methyltransferase 2A ;Histone-binding protein RBBP4 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 ;Chromodomain-helicase-DNA-binding protein 3 ;Histone deacetylase 1 ;116 kDa U5 small nuclear ribonucleoprotein component ;Retinoblastoma-binding protein 5 ;Transcription initiation factor TFIID subunit 12 ;Histone-binding protein RBBP7 ;Transcription initiation factor TFIID subunit 9 ;SWI/SNF complex subunit SMARCC2 ;Histone deacetylase 2 ;Symplekin;SWI/SNF complex subunit SMARCC1 ;Paired amphipathic helix protein Sin3a ;Cleavage and polyadenylation specificity factor subunit 2,SAP18;SMARCA5;KDM1A;SAP30;MTA2;MBD3;TBP;TAF1;TAF6;SMARCA2;WDR5;RAN;KMT2A;RBBP4;SMARCB1;CHD3;HDAC1;EFTUD2;RBBP5;TAF12;RBBP7;TAF9;SMARCC2;HDAC2;SYMPK;SMARCC1;SIN3A;CPSF2,"The proteins associated with ALL-1 can be classified into eight groups.  (1) BRM, BAF170, BAF155, and INI1, the core components of the ATP-dependent SWI/SNF nucleosome remodeling complex,  (2) Mi2, MTA1-L1, HDAC1, HDAC2, RbAp46, RbAp48, MBD3, and KIAA0601, all components of the NuRD complex,  (3) Sin3A, SAP30, SAP18, HDAC1, HDAC2, RbAp48, and RbAp46, components of the histone deacetylase Sin3A complex,  (4) hSNF2H, homolog of ISWI, an ATP-dependent nucleosome remodeling and assembly factor,  (5) TAFII250, TAFII80, TAFII31, TAFII20, and TBP, components of the TFIID complex,  (6) RbBP5  and WDRP5, components of the yeast Set1 complex,  which methylates H3-K4.  (7) Proteins involved in RNA processing, CPSF, Symplekin and EFTUD2.  (8) Ran, which functions in nucleocytoplasmic transport and in spindle assembly during mitosis.",;SNF2H WCRF135;AOF2 KDM1 KIAA0601 LSD1;;MTA1L1 PID;;GTF2D1 TF2D TFIID;BA2R CCG1 CCGS TAF2A;TAF2E TAFII70;BAF190B BRM SNF2A SNF2L2;BIG3;ARA24;ALL1 CXXC7 HRX HTRX MLL MLL1 TRX1;RBAP48;BAF47 INI1 SNF5L1;;RPD3L1;KIAA0031 SNRP116;RBQ3;TAF15 TAF2J TAFII20;RBAP46;TAF2G TAFII31;BAF170;;SPK;BAF155;;CPSF100 KIAA1367
1258,"Ubiquitin E3 ligase (GLMN, FBXW8, SKP1A, RBX1)",Human,P62877;P63208;Q8N3Y1;Q92990,9978;6500;26259;11146,E3 ubiquitin-protein ligase RBX1 ;S-phase kinase-associated protein 1 ;F-box/WD repeat-containing protein 8 ;Glomulin,RBX1;SKP1;FBXW8;GLMN,"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Experiments suggest that ubiquitin E3 ligase (containing GLMN, FBXW8, SKP1A and RBX1) plays an important role in vascular morphogenesis.",RNF75 ROC1;EMC19 OCP2 SKP1A TCEB1L;FBW6 FBW8 FBX29 FBXO29 FBXW6;FAP48 FAP68 VMGLOM
1259,Chromatin assembly complex (CAF-1 complex),Human,Q09028;Q13111;Q13112,5928;10036;8208,Histone-binding protein RBBP4 ;Chromatin assembly factor 1 subunit A ;Chromatin assembly factor 1 subunit B,RBBP4;CHAF1A;CHAF1B,Caf-1 complex assembles nucleosomes in a replication-dependent manner.,RBAP48;CAF CAF1P150;CAF1A CAF1P60 MPHOSPH7 MPP7
1260,"Neddylin ligase (FBXO11, SKP1, CUL1, RBX1)",Human,P62877;P63208;Q13616;Q86XK2,9978;6500;8454;80204,E3 ubiquitin-protein ligase RBX1 ;S-phase kinase-associated protein 1 ;Cullin-1 ;F-box only protein 11,RBX1;SKP1;CUL1;FBXO11,FBXO11 promotes the neddylation of p53 and inhibits its transcriptional activity.,RNF75 ROC1;EMC19 OCP2 SKP1A TCEB1L;;FBX11 PRMT9 VIT1
1261,SRm160/300 complex,Human,P08621;P09661;P62995;Q8IYB3;Q9UQ35,6625;6627;6434;10250;23524,U1 small nuclear ribonucleoprotein 70 kDa ;U2 small nuclear ribonucleoprotein A' ;Transformer-2 protein homolog beta ;Serine/arginine repetitive matrix protein 1 ;Serine/arginine repetitive matrix protein 2,SNRNP70;SNRPA1;TRA2B;SRRM1;SRRM2,"Exonic splicing enhancer (ESE) sequences are important for the recognition of splice sites in pre-mRNA. These sequences are bound by specific serine-arginine (SR) repeat proteins that promote the assembly of splicing complexes at adjacent splice sites. In a study, it was shown that SRm160/300 is required for a purine-rich ESE to promote the splicing of a pre-mRNA derived from the Drosophila doublesex gene. Results suggest a model for ESE function in which the SRm160/300 splicing coactivator promotes critical interactions between ESE-bound ""activators"" and the snRNP machinery of the spliceosome.",RNPU1Z RPU1 SNRP70 U1AP1;;SFRS10;SRM160;KIAA0324 SRL300 SRM300
1297,MKK4-ARRB2-ASK1 complex,Human,P32121;P45985;Q99683,409;6416;4217,Beta-arrestin-2 ;Dual specificity mitogen-activated protein kinase kinase 4 ;Mitogen-activated protein kinase kinase kinase 5,ARRB2;MAP2K4;MAP3K5,"The data suggest that ASK1 binds directly to beta -arrestin 2, and MKK4 interacts indirectly with beta -arrestin 2 via ASK1 or JNK3, thus forming a complete MAPK module.",ARB2 ARR2;JNKK1 MEK4 MKK4 PRKMK4 SEK1 SERK1 SKK1;ASK1 MAPKKK5 MEKK5
1298,MKK4-ARRB2-JNK3 complex,Human,P32121;P45985;P53779,409;6416;5602,Beta-arrestin-2 ;Dual specificity mitogen-activated protein kinase kinase 4 ;Mitogen-activated protein kinase 10,ARRB2;MAP2K4;MAPK10,"The data suggest that ASK1 binds directly to beta -arrestin 2, and MKK4 interacts indirectly with beta -arrestin 2 via ASK1 or JNK3, thus forming a complete MAPK module.",ARB2 ARR2;JNKK1 MEK4 MKK4 PRKMK4 SEK1 SERK1 SKK1;JNK3 JNK3A PRKM10 SAPK1B
1299,POSH-MLK3 complex,Human,Q16584;Q7Z6J0,4296;57630,Mitogen-activated protein kinase kinase kinase 11 ;E3 ubiquitin-protein ligase SH3RF1,MAP3K11;SH3RF1,A POSH mutant unable to bind to Akt2 exhibits increased binding to MLK3. This increased binding of MLK3 to POSH is accompanied by increased activation of the JNK signaling pathway.,MLK3 PTK1 SPRK;KIAA1494 POSH RNF142 SH3MD2
1300,CRLR-RAMP1 complex,Human,O60894;Q16602,10267;10203,Receptor activity-modifying protein 1 ;Calcitonin gene-related peptide type 1 receptor,RAMP1;CALCRL,"The results demonstrate that RAMP2 and RAMP3 and not only RAMP1 can promote the full maturation of CRLR, leading to its terminal glycosylation, and only the fully processed receptors were found to bind AM (adrenomedullin) and CGRP (calcitonin gene-related peptide).",;CGRPR
1301,CRLR-RAMP1 complex,Human,O60894;Q16602,10267;10203,Receptor activity-modifying protein 1 ;Calcitonin gene-related peptide type 1 receptor,RAMP1;CALCRL,"When RAMP1 is expressed with CRLR, it is targeted to the cell surface as a heterodimer. CGRP (calcitonin gene-related peptide) binding and receptor activation lead to the phosphorylation of CRLR and the internalization of the receptor as a stable complex.",;CGRPR
1332,Large Drosha complex,Human,O00571;O14979;O43143;P17844;P31943;P35637;P52272;Q00839;Q01844;Q12905;Q12906;Q13148;Q8WYQ5;Q92499;Q92804;Q92841;Q96SB4;Q9BUJ2;Q9NRR4;Q9UKM9,1654;9987;1665;1655;3187;2521;4670;3192;2130;3608;3609;23435;54487;1653;8148;10521;6732;11100;29102;22913,ATP-dependent RNA helicase DDX3X ;Heterogeneous nuclear ribonucleoprotein D-like ;Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 ;Probable ATP-dependent RNA helicase DDX5 ;Heterogeneous nuclear ribonucleoprotein H ;RNA-binding protein FUS ;Heterogeneous nuclear ribonucleoprotein M ;Heterogeneous nuclear ribonucleoprotein U ;RNA-binding protein EWS ;Interleukin enhancer-binding factor 2 ;Interleukin enhancer-binding factor 3 ;TAR DNA-binding protein 43 ;Microprocessor complex subunit DGCR8 ;ATP-dependent RNA helicase DDX1 ;TATA-binding protein-associated factor 2N ;Probable ATP-dependent RNA helicase DDX17 ;SRSF protein kinase 1 ;Heterogeneous nuclear ribonucleoprotein U-like protein 1 ;Ribonuclease 3 ;RNA-binding protein Raly,DDX3X;HNRNPDL;DHX15;DDX5;HNRNPH1;FUS;HNRNPM;HNRNPU;EWSR1;ILF2;ILF3;TARDBP;DGCR8;DDX1;TAF15;DDX17;SRPK1;HNRNPUL1;DROSHA;RALY,The large Drosha complex shows only weak pri-miRNA processing activity. It might be involved in pri-ribosomal RNA processing.,DBX DDX3;HNRPDL JKTBP;DBP1 DDX15;G17P1 HELR HLR1;HNRPH HNRPH1;TLS;HNRPM NAGR1;HNRPU SAFA U21.1;EWS;NF45;DRBF MPHOSPH4 NF90;TDP43;C22orf12 DGCRK6;;RBP56 TAF2N;;;E1BAP5 HNRPUL1;RN3 RNASE3L RNASEN;HNRPCL2 P542
1338,"FOXO3-PCAF complex, oxidative stress stimulated",Human,O43524;Q92831,2309;8850,Forkhead box protein O3 ;Histone acetyltransferase KAT2B,FOXO3;KAT2B,None,FKHRL1 FOXO3A;PCAF
1345,Septin complex,Human,Q15019;Q16181;Q92599;Q9NVA2;Q9UHD8,4735;989;23176;55752;10801,Septin-2 ;Septin-7 ;Septin-8;Septin-11;Septin-9,SEPT2;SEPT7;SEPT8;SEPT11;SEPT9,"Septins are members of a conserved family of cytoskeletal GTPases, filament-forming and cell division cycle regulatory proteins.",DIFF6 KIAA0158 NEDD5;CDC10;KIAA0202;;KIAA0991 MSF
1352,"ING4 complex (ING4, MYST2, C1orf149, PHF17)",Human,O95251;Q6IE81;Q9HAF1;Q9UNL4,11143;79960;64769;51147,Histone acetyltransferase KAT7 ;Protein Jade-1 ;Chromatin modification-related protein MEAF6 ;Inhibitor of growth protein 4,KAT7;JADE1;MEAF6;ING4,ING4 associates with the HBO1 HAT required for normal progression through S phase and the majority of histone H4 acetylation in vivo. ING subunits are probably crucial for acetylation of chromatin substrates.,HBO1 HBOa MYST2;KIAA1807 PHF17;C1orf149 CENP-28 EAF6;
1371,Gata1-Tal1-Tcf3-Lmo2 complex,Mouse,P15806;P17679;P22091;P25801,21423;14460;21349;16909,Transcription factor E2-alpha ;Erythroid transcription factor ;T-cell acute lymphocytic leukemia protein 1 homolog ;Rhombotin-2,Tcf3;Gata1;Tal1;Lmo2,"Complexes involving RBTN2, TAL1, and GATA1 (or -2), together with E47, the basic helix-loop-helix heterodimerization partner of TAL1, could be demonstrated. Thus, a molecular link exists between three proteins crucial for erythropoiesis, and the data suggest that variations in amounts of complexes involving RBTN2, TAL1, and GATA1 (or -2) could be important for erythroid differentiation.",Alf2 Me2 Tcfe2a;Gf-1;Scl Tal-1;Rbtn-2 Rbtn2 Rhom-2
1372,Rb-tal-1-E2A-Lmo2-Ldb1 complex,Human,P06400;P15923;P17542;P25791;Q86U70,5925;6929;6886;4005;8861,Retinoblastoma-associated protein ;Transcription factor E2-alpha ;T-cell acute lymphocytic leukemia protein 1 ;Rhombotin-2 ;LIM domain-binding protein 1,RB1;TCF3;TAL1;LMO2;LDB1,"Data indicate that this pentameric complex assembled in maturing erythroblasts plays an important regulatory role in c-kit downmodulation; hypothetically, the complex may regulate the expression of other critical erythroid genes.",;BHLHB21 E2A ITF1;BHLHA17 SCL TCL5;RBTN2 RBTNL1 RHOM2 TTG2;CLIM2
1373,Ldb1-Lmo2-Gata-1-Tal1-E47 complex,Mouse,P15806;P17679;P22091;P25801;P70662,21423;14460;21349;16909;16825,Transcription factor E2-alpha ;Erythroid transcription factor ;T-cell acute lymphocytic leukemia protein 1 homolog ;Rhombotin-2 ;LIM domain-binding protein 1,Tcf3;Gata1;Tal1;Lmo2;Ldb1,"In erythroid cells Lmo2 forms a novel DNA-binding complex, with GATA-1, TAL1 and E2A, and the recently identified LIM-binding protein Ldb1/NLI. This oligomeric complex binds to a unique, bipartite DNA motif comprising an E-box, CAGGTG, followed approximately 9 bp downstream by a GATA site. The protein complex may play a role in haematopoiesis.",Alf2 Me2 Tcfe2a;Gf-1;Scl Tal-1;Rbtn-2 Rbtn2 Rhom-2;Nli
1375,Pyruvate dehydrogenase complex,Bovine,P08559;P09622;P11180;P11966;P22439,5160;1738;512723;613610;None,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial ;Dihydrolipoyl dehydrogenase, mitochondrial ;Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex ;Pyruvate dehydrogenase E1 component subunit beta, mitochondrial ;Pyruvate dehydrogenase protein X component",PDHA1;DLD;DLAT;PDHB;PDHX,"The mitochondrial pyruvate dehydrogenase complex (PDC)1 catalyzes the irreversible conversion of pyruvate to acetyl-CoA along with the reduction of NAD+. PDCs from all known sources contain the pyruvate dehydrogenase (E1), the dihydrolipoyl acetyltransferase (E2), and the dihydrolipoyl dehydrogenase (E3) components.",PHE1A;GCSL LAD PHE3;;;PDX1
1377,hASC-1 complex,Human,Q15650;Q8N3C0;Q8N9N2;Q9H1I8,9325;10973;51008;84164,Activating signal cointegrator 1 ;Activating signal cointegrator 1 complex subunit 3 ;Activating signal cointegrator 1 complex subunit 1 ;Activating signal cointegrator 1 complex subunit 2,TRIP4;ASCC3;ASCC1;ASCC2,"Endogenous hASC-1 complex appears to play an essential role in AP-1, SRF, and NF-kappaB transactivation and to mediate the transrepression between nuclear receptors and either AP-1 or NF-kappaB in vivo.",;HELIC1;;ASC1P100
1379,GALNS-lysosomal hydrolase 1.27 MDa complex,Human,P10619;P16278;P34059;Q99519,5476;2720;2588;4758,Lysosomal protective protein ;Beta-galactosidase ;N-acetylgalactosamine-6-sulfatase ;Sialidase-1,CTSA;GLB1;GALNS;NEU1,The 1.27-MDa complex of lysosomal hydrolases is essential for keratan sulfate catabolism. Disruption of this complex may be responsible for the KS accumulation in beta-galactosidosis and galactosialidosis patients. Association of GALNS with the three other lysosomal hydrolases protects GALNS in lysosomes.,PPGB;ELNR1;;NANH
1380,Elongator holo complex,Human,O95163;Q6IA86;Q96EB1;Q9H9T3,8518;55250;26610;55140,Elongator complex protein 1 ;Elongator complex protein 2 ;Elongator complex protein 4 ;Elongator complex protein 3,IKBKAP;ELP2;ELP4;ELP3,The holo-Elongator complex has histone acetyltransferase activity directed against histone H3 and H4. Holo-Elongator interacts with RNA polymerase II.,ELP1 IKAP;STATIP1;C11orf19 PAXNEB;
1400,ASCOM complex,Human,O14686;P07437;P68366;Q14686;Q15291;Q8NEZ4;Q9UBL3,8085;203068;7277;23054;5929;58508;9070,Histone-lysine N-methyltransferase 2D ;Tubulin beta chain ;Tubulin alpha-4A chain ;Nuclear receptor coactivator 6 ;Retinoblastoma-binding protein 5 ;Histone-lysine N-methyltransferase 2C ;Set1/Ash2 histone methyltransferase complex subunit ASH2,KMT2D;TUBB;TUBA4A;NCOA6;RBBP5;KMT2C;ASH2L,"ASCOM exhibit very weak but specific H3-lysine 4 methylation activities in vitro, and transactivation by retinoic acid receptor appears to involve ligand-dependent recruitment of ASCOM and subsequent transient H3-lysine 4 methylation of the promoter region in vivo. Thus, ASCOM may represent a distinct coactivator complex of nuclear receptors. MALDI-TOF mass spectrometry analyses identified also ALR-2, the splicing isoform of ALR-1.",ALR MLL2 MLL4;TUBB5;TUBA1;AIB3 KIAA0181 RAP250 TRBP;RBQ3;HALR KIAA1506 MLL3;ASH2L1
1413,NCOR1 complex,Human,O15379;O75376;P51532;Q12824;Q13263;Q15393;Q15459;Q6ZRS2;Q8TAQ2;Q92922,8841;9611;6597;6598;10155;23450;10291;10847;6601;6599,Histone deacetylase 3 ;Nuclear receptor corepressor 1 ;Transcription activator BRG1 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 ;Transcription intermediary factor 1-beta ;Splicing factor 3B subunit 3 ;Splicing factor 3A subunit 1 ;Helicase SRCAP ;SWI/SNF complex subunit SMARCC2 ;SWI/SNF complex subunit SMARCC1,HDAC3;NCOR1;SMARCA4;SMARCB1;TRIM28;SF3B3;SF3A1;SRCAP;SMARCC2;SMARCC1,"Transcriptional silencing by many transcription factors is mediated by the nuclear receptor corepressor (N-CoR). The mechanism by which N-CoR represses basal transcription involves the direct or indirect recruitment of histone deacetylases (HDACs). Two multiprotein N-CoR complexes have been isolated, designated N-CoR-1 and N-CoR-2, which possess histone deacetylase activity that is mediated by distinct HDACs. Results suggest that N-CoR is found in distinct multiprotein complexes, which are involved in multiple pathways of transcriptional repression.",;KIAA1047;BAF190A BRG1 SNF2B SNF2L4;BAF47 INI1 SNF5L1;KAP1 RNF96 TIF1B;KIAA0017 SAP130;SAP114;KIAA0309;BAF170;BAF155
